t,MV,MVP,MVI,MVD,SP,PV,DV,Man
4.800000000000000000e+01,5.000000000000000000e+01,9.920411527732018442e+01,-4.920411525168411515e+01,-2.563607082171853503e-08,6.500000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,5.000000000000000000e+01,9.809530225291423733e+01,-4.809530222805501865e+01,-2.485922026702169884e-08,6.500000000000000000e+01,3.668999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,5.000000000000000000e+01,9.698648922850827603e+01,-4.698648920364905734e+01,-2.485922025831333326e-08,6.500000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,5.000000000000000000e+01,9.608557864617841915e+01,-4.608557862598030397e+01,-2.019811651213016596e-08,6.500000000000000000e+01,3.727000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,5.000000000000000000e+01,9.518466806384859069e+01,-4.518466804365047551e+01,-2.019811645987941329e-08,6.500000000000000000e+01,3.753000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,5.000000000000000000e+01,9.463026155164563136e+01,-4.463026153921602202e+01,-1.242961021624005776e-08,6.500000000000000000e+01,3.768999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,5.000000000000000000e+01,9.362539974827772937e+01,-4.362539972574906244e+01,-2.252866824588760911e-08,6.500000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,5.000000000000000000e+01,9.251658672387178228e+01,-4.251658669901256360e+01,-2.485922023218822989e-08,6.500000000000000000e+01,3.829999999999999716e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,5.000000000000000000e+01,9.140777369946582098e+01,-4.140777367460660230e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.861999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,5.000000000000000000e+01,9.050686311713596410e+01,-4.050686309693784892e+01,-2.019811651213016596e-08,6.500000000000000000e+01,3.888000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,5.000000000000000000e+01,8.995245660493300477e+01,-3.995245659250339543e+01,-1.242961021624005776e-08,6.500000000000000000e+01,3.903999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
